local_timestamp,side,price,amount
1700000000000180925,sell,0.010999,1745.7188087693853
1700000000000200078,sell,0.011,533.5684395507463
1700000000000865504,sell,0.010999499999999999,3570.405612113962
1700000000000947454,buy,0.0110005,3237.4618955254537
1700000000001096097,buy,0.0110005,9177.435809272001
1700000000001146462,sell,0.010999499999999999,10430.64620315318
1700000000001254904,sell,0.011000499999999998,12952.401051599723
1700000000001434958,buy,0.0110005,1215.5603913880902
1700000000001541601,sell,0.010997999999999999,7931.407725099332
1700000000001650607,buy,0.011000999999999999,2646.9859937591345
1700000000001747578,buy,0.011,5596.760741184129
1700000000002048202,buy,0.010999,1996.675822094627
1700000000002399701,sell,0.010998999999999998,843.6175770324777
1700000000002425380,sell,0.010999999999999998,3256.6223067125775
1700000000002522065,buy,0.0110005,7461.7981521531465
1700000000002808645,sell,0.0109975,23191.000924144293
1700000000002999297,sell,0.0109985,7724.791280291122
1700000000003050705,buy,0.0110005,4099.674266721818
1700000000003064137,buy,0.0109995,20986.70601652765
1700000000003107500,sell,0.0109985,3434.225290592154
1700000000003164620,sell,0.0109985,29562.797820626944
1700000000003314730,sell,0.0109975,3576.577441048835
1700000000003941555,buy,0.011,12235.535801190355
1700000000004497258,sell,0.010998999999999998,3597.671788177825
1700000000004644262,buy,0.0110005,950.1942517078002
1700000000004687981,sell,0.0109975,12392.01613089189
1700000000005142887,buy,0.011,2970.666331694507
1700000000005387483,buy,0.011,3799.5623225741497
1700000000006434289,buy,0.011,3195.842379952397
1700000000006723605,buy,0.010998500000000001,16472.888008584756
1700000000007508461,sell,0.010999999999999998,10317.406513881235
1700000000007672339,sell,0.010999999999999998,6855.415825768668
1700000000007926483,buy,0.011,6072.858670154709
1700000000008668438,buy,0.010998,12368.272403977597
1700000000009271797,sell,0.010996500000000001,7371.2185178952195
1700000000009286400,buy,0.0109975,8926.227558622066
1700000000009569263,buy,0.0109975,10696.280695470114
1700000000009717858,sell,0.0109965,20082.590690732588
1700000000010136325,buy,0.010997499999999999,807.0968697104083
1700000000010723274,buy,0.0109965,890.5699559022718
1700000000010918837,buy,0.0109955,8613.969996929287
1700000000010947611,buy,0.0109965,10313.662704393175
1700000000010981866,sell,0.010996499999999998,11092.270635091369
1700000000011764352,buy,0.010996,2465.8556086592885
1700000000012128990,sell,0.010995,1443.862845484077
1700000000012199179,sell,0.010995,1029.5963584731417
1700000000012202479,sell,0.010995999999999999,1447.4764018180704
1700000000012442472,sell,0.010995999999999999,4897.598451806642
1700000000012685939,sell,0.0109945,3706.8063423870094
1700000000012838601,buy,0.0109955,373.5312215909944
1700000000012851847,sell,0.0109945,6161.168963055997
1700000000013028474,sell,0.010993000000000001,18188.69223958275
1700000000013682972,buy,0.0109945,1636.4805927803136
